Basic routing/ switching and server for FMS,10
Laying and installation of optical fibers and accssories on distribution lines,50
Splicings and testing of fibers (ADSS and OPGW) and optical equipment such as Media Converter,50
Testing and troubleshooting of optical fiber network for new recruits ,115
Heuristic and Holistic planning,106
Planning and communication,74
Operation of filtration machines,118
Transformer repair/ maintenance and design ,118
Use of Testing equipment for transformers,118
Winding transformer coil ,118
ETAP Software,102
Tendering and evaluation,78
To work with ethics/ transparency/ due deligent and dedication,76
To work with ethics/ transparency/ due deligent and dedication,78
Preparation of tender documents/ evaluation of bids/ award of contracts/ and Contract Management.,113
Testing of relays/ settings of protection system.,84
Testing of ARCBs and setting of protection system,84
Professionalized training provider on Enterprise Risk Management Framework,16
Certified and accredited trainer of Risk Management in all skill sujb-categories,18
Perform Risk Diagnostics/ Development-needs and gap analysis,42
Dealing with regulators/ external agencies/ stakeholders/ international standards ,88
Leading Enterprise Risk Management Projects in organizations,93
Implementation of Risk Management Projects,94
Risk concepts/ general principles/ theories/ processes/ methodologies and practices,95
Building Risk Driven Business Models and Strategies,96
Developing risk management manuals/ policy/ frameworks/ tools/ templates,97
Risk Dashboard/ KRIs/ KPIs/ KCIs/ automated report generation,98
Designing and implementing key areas of Enterprise Risk Management Framework practices,99
Skills related to technical auditing of existing  infrastritures and construction infrastructres. ,9
Skills related on how to carry out an indepth investigation resulting from Safety incidents. ,51
Skills related on how to carry out the Safety auditing. ,51
Skills related on how to communicate during the auditing and investigation process. ,51
Producing written reports on technical auditing and safety incident investigation.,51
Creation of PR & PO; Service entries/ Receipt of goods/ Park Invoices,64
Project System (PS) module,81
Project System (PS) module,81
Null,85
Billings in MM/ Project processing in PS and other SAP related works like bills pass and inventory ,65
MM/ PM and PS skills trainings required for technicans and new recruits,65
Fiber splicing works ,40
General accounting works ,43
General IT works and programming ,48
Procurement of good and services ,77
New enhancement in SAP for all the module.,100
Basis functional,101
FICO functional,101
HCM functional,101
ISU functional,101
MM functional ,101
Plant maintenance functional ,101
Project System fucntional,101
Sales and Distribution functional,101
WM functional ,101
Inventory management,124
Design and drawings of all types of civil structures,19
Implementation/ monitoring/ billing and measurement of civil works,19
Repair and maintenance of civil infrastructure,19
Use of AutoCAD and StaadPro softwares,19
System studies for load flow/ short circuit and load forecasting,37
System studies for substation upgradation and augmentation,37
System studies for transmission line upgradation and augmentation,37
Product Analysis,110
Technical Writing ,110
Tendering and Awarding,111
Evaluation of goods and works ,38
Condcut detailed survey,58
Condcut EIA studies for environment clearance,58
Conduct route alignment survey,58
Design of structures/ frame specifications and estimations,58
Design of tower foundations,58
Preparation of strining chart,58
Preparation/Execution of Environmental Management Plan,58
Prepare tower spotting,58
Profiling of transmission line,58
Transmission line modeling & optimization,58
Analysis of power system disturbances and events,71
Design and drawings of all types of electrical systems,71
Installation/ setting/ programming and testing of relays/ control panels and protection systems,71
Installation/ testing and commissioning of cables/ jointing and termination,71
Installation/ testing/ commissioning of substation earth mat and equipment earthing,71
Installation/ testing/ programming and commissioning of communication systems (PLC and Fibre optic),71
Installation/ testing/ programming and commissioning of Energy Meters,71
Installation/ testing/ programming and commissioning of SCADA systems,71
Maintenance and testing of Battery and Battery Chargers,71
Maintenance and testing of DG Sets,71
Maintenance and testing of Disconnectors/ Isolators and earthing switches,71
Maintenance and testing of GIS switchgear,71
Maintenance and testing of lighting systems including internal house wiring,71
Maintenance and testing of Lightning Arresters and lightning protection systems,71
Maintenance and testing of Power/ Distribution/ Current and Voltage Transformers,71
Maintenance and testing of pumps and motors,71
Maintenance and testing of SF6 and Vacuum circuit breakers,71
Substation equipment thermography and diagnosis,71
Tan delta testing of substation equipment,71
Testing/ programming and commissioning of AMR systems,71
Transformer oil filtration and operation of filtration machine,71
Transformer oil testing and diagnosis ,71
Conductor and OPGW stringing/de-stringing,72
Fixing of ropes/ pulleys and winch machines,72
Installation and replacement of hardware fittings,72
Installation and replacement of insulators,72
Installation and replacement of number plate/ phase plate/ danger plate/ ACD/ etc.,72
Installation and testing of tower earthing systems,72
Installation of repair sleeves and mid span joints,72
Installation of stub setting and template,72
Line IR value measurement/ analysis and diagnosis,72
Line signature - analysis and diagnosis,72
Line thermography - analysis and diagnosis,72
Maintenance planning/ implementation and monitoring,72
Operation of GPS/GIS equipment including data coding and mapping,72
Operation of hydraulic compressor machines,72
Operation of portable DG sets,72
Operation of power chain saw,72
Operation of welding machine,72
RoW and safety clearance management and monitoring,72
Surveying and operation of surveying equipment,72
Tower erection,72
Tower footing resistance measurement/ analysis and diagnosis,72
Conceptual Design of substation and its schemes,107
Conduct technical feasibility studies,107
Controlroom design,107
Detailed Calculations/ Foundation & Structural Steel Design,107
Equipment sizing & Technical Specification,107
Grounding & lightning protection,107
Prepare/Review of estimates and technical specifications,107
Carryout power flow simulation,109
Conceptual design,109
Conduct tecnhical pre-feasibility study,109
Transformer Maintenance,120
Team work,45
